iter	Passed	Remaining
0	147	147255
1	148	73873
2	148	49387
3	149	37199
4	150	29850
5	150	24937
6	151	21444
7	151	18813
8	152	16764
9	152	15119
10	153	13782
11	153	12666
12	154	11721
13	154	10912
14	155	10209
15	156	9599
16	156	9060
17	157	8577
18	157	8146
19	158	7757
20	158	7407
21	159	7090
22	160	6796
23	160	6527
24	161	6279
25	161	6051
26	162	5839
27	162	5644
28	163	5461
29	163	5291
30	164	5135
31	164	4989
32	165	4850
33	166	4718
34	166	4593
35	167	4474
36	167	4363
37	168	4257
38	168	4157
39	169	4068
40	170	3979
41	170	3893
42	171	3811
43	171	3732
44	172	3656
45	172	3587
46	173	3518
47	174	3452
48	174	3389
49	175	3329
50	175	3271
51	176	3216
52	177	3166
53	177	3114
54	178	3066
55	179	3019
56	179	2974
57	180	2928
58	180	2885
59	181	2843
60	181	2801
61	182	2762
62	183	2725
63	184	2691
64	184	2656
65	185	2620
66	185	2586
67	186	2553
68	186	2520
69	187	2489
70	187	2459
71	188	2434
72	189	2406
73	189	2377
74	190	2350
75	191	2323
76	191	2297
77	192	2272
78	192	2247
79	193	2223
80	193	2200
81	194	2177
82	194	2152
83	195	2130
84	195	2108
85	196	2088
86	197	2068
87	197	2048
88	198	2028
89	198	2009
90	199	1990
91	199	1971
92	200	1953
93	200	1935
94	201	1918
95	201	1901
96	202	1885
97	203	1869
98	203	1853
99	204	1837
100	204	1823
101	205	1807
102	205	1792
103	206	1778
104	206	1763
105	207	1749
106	207	1735
107	208	1722
108	209	1709
109	209	1696
110	210	1684
111	210	1671
112	211	1659
113	211	1647
114	212	1635
115	213	1623
116	213	1610
117	214	1599
118	214	1589
119	215	1579
120	215	1568
121	216	1557
122	216	1546
123	217	1536
124	218	1526
125	218	1516
126	219	1506
127	219	1496
128	220	1486
129	220	1477
130	221	1467
131	221	1458
132	222	1449
133	222	1440
134	223	1431
135	224	1423
136	224	1414
137	225	1405
138	225	1397
139	226	1388
140	226	1380
141	227	1373
142	227	1365
143	228	1358
144	229	1350
145	229	1344
146	230	1336
147	230	1329
148	231	1322
149	232	1315
150	232	1308
151	233	1300
152	233	1294
153	234	1287
154	234	1281
155	235	1274
156	236	1268
157	236	1262
158	237	1257
159	238	1251
160	238	1243
161	239	1237
162	239	1231
163	240	1227
164	241	1224
165	242	1218
166	243	1212
167	243	1206
168	244	1201
169	244	1195
170	245	1189
171	245	1183
172	246	1178
173	246	1172
174	247	1167
175	248	1162
176	248	1157
177	249	1152
178	250	1146
179	250	1142
180	251	1136
181	251	1132
182	252	1127
183	253	1124
184	254	1119
185	254	1114
186	255	1110
187	255	1105
188	256	1101
189	257	1096
190	257	1092
191	258	1087
192	259	1083
193	259	1078
194	260	1074
195	260	1070
196	261	1065
197	262	1061
198	262	1057
199	263	1053
200	263	1048
201	264	1044
202	265	1040
203	266	1039
204	267	1035
205	267	1031
206	268	1027
207	268	1024
208	269	1020
209	270	1016
210	270	1012
211	271	1008
212	271	1004
213	272	1002
214	273	999
215	274	995
216	274	992
217	275	988
218	276	984
219	276	980
220	277	976
221	277	972
222	278	969
223	278	965
224	279	961
225	280	959
226	280	956
227	281	953
228	282	950
229	282	947
230	283	943
231	284	940
232	284	937
233	285	935
234	286	932
235	287	929
236	287	925
237	288	922
238	288	919
239	289	916
240	289	913
241	290	910
242	291	907
243	292	904
244	292	901
245	293	899
246	294	896
247	294	893
248	295	890
249	296	888
250	297	886
251	297	884
252	298	881
253	299	879
254	300	876
255	300	873
256	301	871
257	301	868
258	302	865
259	303	862
260	303	859
261	304	857
262	304	854
263	305	851
264	306	849
265	306	846
266	307	844
267	308	841
268	308	838
269	309	835
270	309	833
271	310	830
272	311	828
273	311	826
274	312	824
275	313	822
276	313	819
277	314	817
278	315	814
279	315	812
280	316	809
281	316	807
282	317	804
283	318	802
284	318	799
285	319	797
286	320	795
287	320	792
288	321	790
289	321	787
290	322	785
291	322	783
292	323	781
293	324	779
294	324	776
295	325	774
296	326	772
297	327	770
298	327	768
299	328	766
300	329	764
301	330	763
302	330	761
303	331	759
304	332	756
305	332	754
306	333	752
307	333	749
308	334	747
309	334	745
310	335	743
311	336	741
312	336	739
313	337	737
314	338	735
315	338	733
316	339	731
317	339	729
318	340	726
319	341	724
320	341	722
321	343	722
322	343	720
323	344	718
324	345	716
325	345	714
326	346	712
327	346	710
328	347	708
329	347	706
330	348	704
331	349	702
332	349	700
333	350	698
334	350	696
335	351	694
336	352	692
337	352	691
338	353	689
339	354	687
340	354	685
341	355	683
342	355	681
343	356	679
344	357	678
345	357	676
346	358	674
347	359	672
348	359	670
349	360	669
350	360	667
351	361	666
352	363	665
353	363	663
354	364	661
355	364	660
356	365	658
357	366	656
358	366	654
359	367	653
360	368	651
361	368	649
362	369	647
363	369	646
364	370	645
365	371	643
366	372	642
367	373	641
368	373	639
369	374	637
370	375	636
371	375	634
372	376	633
373	377	631
374	377	629
375	378	628
376	379	626
377	379	624
378	380	623
379	381	622
380	382	620
381	382	619
382	383	617
383	384	616
384	384	614
385	385	613
386	386	611
387	386	610
388	387	609
389	388	607
390	389	606
391	390	605
392	390	603
393	391	602
394	392	600
395	392	599
396	393	597
397	394	596
398	394	594
399	395	593
400	396	592
401	397	590
402	397	588
403	398	587
404	398	585
405	399	584
406	399	582
407	400	581
408	401	579
409	402	578
410	402	577
411	403	576
412	404	574
413	404	573
414	405	571
415	406	570
416	406	568
417	407	567
418	407	565
419	408	564
420	409	562
421	409	561
422	410	559
423	411	558
424	412	557
425	412	556
426	413	554
427	414	553
428	414	552
429	415	550
